game_id,venue,venue_time_zone_tz
2014020752,Xcel Energy Center,CDT
2014020904,STAPLES Center,PDT
2014021200,Nationwide Arena,EDT
2014020351,Xcel Energy Center,CDT
2014020185,Madison Square Garden,EDT
2014020972,Amalie Arena,EDT
2014020295,Canadian Tire Centre,EDT
2014020777,Air Canada Centre,EDT
2014020182,Pepsi Center,MDT
2014021135,MTS Centre,CDT
2014020881,American Airlines Center,CDT
2014021206,Amalie Arena,EDT
2014020286,Pepsi Center,MDT
2014020987,Joe Louis Arena,EDT
2014020811,Centre Bell,EDT
2014021069,Centre Bell,EDT
2014020535,Scottrade Center,CDT
2014021008,Scottrade Center,CDT
2014020829,Gila River Arena,MST
2014020691,Canadian Tire Centre,EDT
2014020225,BB&T Center,EDT
2014020191,Scottrade Center,CDT
2014020381,Amalie Arena,EDT
2014021229,Gila River Arena,MST
2014020230,Rogers Arena,PDT
2014020131,United Center,CDT
2014021013,Nassau Coliseum,EDT
2014020432,Centre Bell,EDT
2014020920,Amalie Arena,EDT
2014021007,BB&T Center,EDT
2014020652,Gila River Arena,MST
2014020130,Amalie Arena,EDT
2014020850,Air Canada Centre,EDT
2014020108,Centre Bell,EDT
2014021080,Amalie Arena,EDT
2014020574,Rogers Arena,PDT
2014020957,Wells Fargo Center,EDT
2014021115,Verizon Center,EDT
2014020908,First Niagara Center,EDT
2014021197,Pepsi Center,MDT
2014020405,Rexall Place,MDT
2014020950,Rexall Place,MDT
2014020073,Rogers Arena,PDT
2014020429,Gila River Arena,MST
2014020871,Scotiabank Saddledome,MDT
2014020120,Honda Center,PDT
2014020386,SAP Center at San Jose,PDT
2014021173,Nassau Coliseum,EDT
2014020940,United Center,CDT
2014021094,Joe Louis Arena,EDT
2014020910,Nationwide Arena,EDT
2014020008,Verizon Center,EDT
2014020735,Amalie Arena,EDT
2014020567,STAPLES Center,PDT
2014020259,Scotiabank Saddledome,MDT
2014021101,TD Garden,EDT
2014020329,Xcel Energy Center,CDT
2014020430,SAP Center at San Jose,PDT
2014020828,Xcel Energy Center,CDT
2014020347,Nassau Coliseum,EDT
2014021112,Xcel Energy Center,CDT
2014020015,Rexall Place,MDT
2014020455,Centre Bell,EDT
2014020712,Madison Square Garden,EDT
2014021121,Air Canada Centre,EDT
2014020742,Madison Square Garden,EDT
2014020834,BB&T Center,EDT
2014020318,Bridgestone Arena,CDT
2014020279,Rexall Place,MDT
2014020086,American Airlines Center,CDT
2014020780,Xcel Energy Center,CDT
2014020431,CONSOL Energy Center,EDT
2014020254,Prudential Center,EDT
2014020568,Prudential Center,EDT
2014021171,Canadian Tire Centre,EDT
2014020149,Joe Louis Arena,EDT
2014020384,Scotiabank Saddledome,MDT
2014020041,PNC Arena,EDT
2014020462,Scotiabank Saddledome,MDT
2014020951,Rogers Arena,PDT
2014021134,CONSOL Energy Center,EDT
2014020022,BB&T Center,EDT
2014020607,STAPLES Center,PDT
2014020134,Scotiabank Saddledome,MDT
2014020324,Nassau Coliseum,EDT
2014021219,STAPLES Center,PDT
2014020759,First Niagara Center,EDT
2014020092,Honda Center,PDT
2014020976,Bridgestone Arena,CDT
2014020402,MTS Centre,CDT
2014020379,Canadian Tire Centre,EDT
2014020949,Gila River Arena,MST
2014020453,Wells Fargo Center,EDT
2014020203,First Niagara Center,EDT
2014020698,Wells Fargo Center,EDT
2014021186,Madison Square Garden,EDT
2014020859,Nassau Coliseum,EDT
2014020488,Xcel Energy Center,CDT
2014020325,Joe Louis Arena,EDT
2014020511,United Center,CDT
2014020454,Air Canada Centre,EDT
2014020990,SAP Center at San Jose,PDT
2014020849,PNC Arena,EDT
2014020790,MTS Centre,CDT
2014020136,Verizon Center,EDT
